customer_id,customer_name,email,region,join_date,loyalty_points,is_valid
C001,John Smith,user0@example.com,Unknown,2024-06-20,840,0
C002,UNKNOWN,user1@example.com,West,,1779,0
C003,Alice Brown,user2@example.com,Unknown,2024-07-05,0,0
C004,UNKNOWN,user3@example.com,North,,1892,0
C005,Name with special chars,,Unknown,2024-08-28,1825,0
C006,Alice Brown,user5@example.com,North,,216,0
C007,Name with special chars,,South,2024-12-31,384,0
C008,David Clark,user7@example.com,South,2022-08-26,100000,0
C009,Alice Brown,user8@example.com,Unknown,2024-07-06,493,0
C010,Alice Brown,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,East,2023-01-30,150,1
C011,Sarah Jones,user10@example.com,Unknown,2022-03-29,0,0
C012,Sarah Jones,user11@example.com,West,2024-06-09,1690,1
C013,Michael Lee,user12@example.com,North,2022-06-18,1150,1
C014,Sarah Jones,,Unknown,2022-01-24,1745,0
C015,Alice Brown,user14@example.com,Unknown,2023-10-20,1204,0
C016,Sarah Jones,user15@example.com,South,,100000,0
C017,Name with special chars,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,Unknown,,510,0
C018,David Clark,user17@example.com,North,2024-06-02,1685,1
C019,David Clark,user18@example.com,Unknown,2024-05-29,612,0
C020,UNKNOWN,user19@example.com,North,2024-10-31,1333,0
C021,Alice Brown,,South,2022-09-06,202,0
C022,UNKNOWN,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,North,2022-08-15,0,0
C023,John Smith,,Unknown,2022-10-04,1220,0
C024,John Smith,user23@example.com,South,2023-09-03,0,0
C026,Alice Brown,user25@example.com,South,2024-03-09,772,1
C027,John Smith,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,South,2022-11-18,632,1
C028,Alice Brown,user27@example.com,West,,100000,0
C030,UNKNOWN,user29@example.com,North,,100000,0
C031,Alice Brown,user30@example.com,Unknown,2024-02-09,0,0
C032,Michael Lee,,Unknown,2022-01-14,432,0
C033,John Smith,user32@example.com,West,2023-01-25,532,1
C034,Name with special chars,,Unknown,2022-08-24,167,0
C035,Alice Brown,,North,2022-01-25,1655,0
C036,Alice Brown,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,North,2023-01-31,1152,1
C037,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,user36@example.com,Unknown,2022-07-23,123,0
C038,Sarah Jones,user37@example.com,Unknown,2024-12-26,100000,0
C039,John Smith,user38@example.com,West,2023-08-03,109,1
C040,John Smith,user39@example.com,Unknown,2022-08-06,885,0
C041,Alice Brown,,West,2024-08-05,1638,0
C043,Michael Lee,,East,2024-06-28,448,0
C044,Sarah Jones,,West,2022-05-21,1348,0
C045,Alice Brown,user44@example.com,Unknown,2022-04-05,1055,0
C046,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,,Unknown,2024-01-09,1052,0
C047,David Clark,user46@example.com,West,2024-08-07,100000,0
