customer_id,customer_name,email,region,join_date,loyalty_points,is_valid,error_reasons
C001,John Smith,user0@example.com,Unknown,2024-06-20,840,0,Invalid region: None
C002,UNKNOWN,user1@example.com,West,,1779,0,Missing or invalid customer_name; Invalid join_date: invalid_date
C003,Alice Brown,user2@example.com,Unknown,2024-07-05,0,0,Invalid region: Unknown; Missing loyalty_points
C004,UNKNOWN,user3@example.com,North,,1892,0,Missing or invalid customer_name; Invalid join_date: invalid_date
C005,Name with special chars,,Unknown,2024-08-28,1825,0,Invalid email: None; Invalid region: Unknown
C006,Alice Brown,user5@example.com,North,,216,0,Invalid join_date: invalid_date
C007,Name with special chars,,South,2024-12-31,384,0,Invalid email: invalid_email
C008,David Clark,user7@example.com,South,2022-08-26,100000,0,Outlier loyalty_points: 3483636 (capped to 100000)
C009,Alice Brown,user8@example.com,Unknown,2024-07-06,493,0,Invalid region: Unknown
C011,Sarah Jones,user10@example.com,Unknown,2022-03-29,0,0,Invalid region: None; Missing loyalty_points
C014,Sarah Jones,,Unknown,2022-01-24,1745,0,Invalid email: ; Invalid region: Unknown
C015,Alice Brown,user14@example.com,Unknown,2023-10-20,1204,0,Invalid region: Unknown
C016,Sarah Jones,user15@example.com,South,,100000,0,Invalid join_date: None; Outlier loyalty_points: 8579055 (capped to 100000)
C017,Name with special chars,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,Unknown,,510,0,Invalid region: None; Invalid join_date: invalid_date
C019,David Clark,user18@example.com,Unknown,2024-05-29,612,0,Invalid region: None
C020,UNKNOWN,user19@example.com,North,2024-10-31,1333,0,Missing or invalid customer_name
C021,Alice Brown,,South,2022-09-06,202,0,Invalid email: invalid_email
C022,UNKNOWN,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,North,2022-08-15,0,0,Missing or invalid customer_name; Missing loyalty_points
C023,John Smith,,Unknown,2022-10-04,1220,0,Invalid email: ; Invalid region: None
C024,John Smith,user23@example.com,South,2023-09-03,0,0,Negative loyalty_points: -150
C028,Alice Brown,user27@example.com,West,,100000,0,Invalid join_date: None; Outlier loyalty_points: 4307063 (capped to 100000)
C030,UNKNOWN,user29@example.com,North,,100000,0,Missing or invalid customer_name; Invalid join_date: None; Outlier loyalty_points: 9184950 (capped to 100000)
C031,Alice Brown,user30@example.com,Unknown,2024-02-09,0,0,Invalid region: None; Missing loyalty_points
C032,Michael Lee,,Unknown,2022-01-14,432,0,Invalid email: None; Invalid region: None
C034,Name with special chars,,Unknown,2022-08-24,167,0,Invalid email: invalid_email; Invalid region: Unknown
C035,Alice Brown,,North,2022-01-25,1655,0,Invalid email: None
C037,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,user36@example.com,Unknown,2022-07-23,123,0,Invalid region: Unknown
C038,Sarah Jones,user37@example.com,Unknown,2024-12-26,100000,0,Invalid region: None; Outlier loyalty_points: 8179993 (capped to 100000)
C040,John Smith,user39@example.com,Unknown,2022-08-06,885,0,Invalid region: Unknown
C041,Alice Brown,,West,2024-08-05,1638,0,Invalid email: invalid_email
C043,Michael Lee,,East,2024-06-28,448,0,Invalid email: None
C044,Sarah Jones,,West,2022-05-21,1348,0,Invalid email: 
C045,Alice Brown,user44@example.com,Unknown,2022-04-05,1055,0,Invalid region: None
C046,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,,Unknown,2024-01-09,1052,0,Invalid email: invalid_email; Invalid region: None
C047,David Clark,user46@example.com,West,2024-08-07,100000,0,Outlier loyalty_points: 1435157 (capped to 100000)
C049,David Clark,user48@example.com,Unknown,2022-06-03,100000,0,Invalid region: Unknown; Outlier loyalty_points: 8695647 (capped to 100000)
C050,John Smith,,Unknown,2022-02-23,1218,0,Invalid email: ; Invalid region: None
C051,UNKNOWN,user50@example.com,Unknown,2023-11-18,902,0,Missing or invalid customer_name; Invalid region: None
C052,UNKNOWN,,Unknown,2023-04-01,907,0,Missing or invalid customer_name; Invalid email: invalid_email; Invalid region: None
C053,Sarah Jones,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,Unknown,2022-03-08,1661,0,Invalid region: None
C054,Alice Brown,user53@example.com,East,2024-12-21,100000,0,Outlier loyalty_points: 6907064 (capped to 100000)
C058,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,user57@example.com,Unknown,2024-08-10,1551,0,Invalid region: None
C063,Alice Brown,user62@example.com,Unknown,2023-10-07,116,0,Invalid region: None
C065,Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name Very Long Name ,user64@example.com,North,2024-01-05,0,0,Negative loyalty_points: -830
C066,Sarah Jones,user65@example.com,Unknown,2022-03-09,592,0,Invalid region: Unknown
C068,Alice Brown,,Unknown,2023-05-14,100000,0,Invalid email: ; Invalid region: Unknown; Outlier loyalty_points: 9315166 (capped to 100000)
C069,John Smith,,East,2023-11-20,708,0,Invalid email: None
C070,John Smith,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,Unknown,,909,0,Invalid region: Unknown; Invalid join_date: invalid_date
C072,Michael Lee,,South,2022-07-27,1242,0,Invalid email: 
C073,John Smith,user72@example.com,Unknown,2024-06-14,817,0,Invalid region: None
C074,David Clark,user73@example.com,Unknown,2022-08-04,1232,0,Invalid region: None
C075,Michael Lee,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,Unknown,2022-12-10,1823,0,Invalid region: None
C076,Michael Lee,,East,2024-09-01,100000,0,Invalid email: ; Outlier loyalty_points: 3555012 (capped to 100000)
C077,UNKNOWN,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,East,2024-01-14,1976,0,Missing or invalid customer_name
C078,Alice Brown,user77@example.com,Unknown,2023-08-13,100000,0,Invalid region: Unknown; Outlier loyalty_points: 3501111 (capped to 100000)
C081,UNKNOWN,,Unknown,2023-04-23,1982,0,Missing or invalid customer_name; Invalid email: ; Invalid region: Unknown
C082C082,UNKNOWN,user81@example.com,Unknown,2022-03-18,491,0,Missing or invalid customer_name; Invalid region: Unknown
C083,David Clark,user82@example.com,Unknown,,482,0,Invalid region: None; Invalid join_date: None
C084,UNKNOWN,user83@example.com,North,2024-11-25,0,0,Missing or invalid customer_name; Missing loyalty_points
C085,Michael Lee,user84@example.com,South,2022-04-24,0,0,Negative loyalty_points: -383
C087,Michael Lee,,Unknown,2024-03-26,1594,0,Invalid email: invalid_email; Invalid region: Unknown
C088,Michael Lee,user87@example.com,Unknown,2023-05-27,306,0,Invalid region: None
C089,Alice Brown,,Unknown,2023-05-12,1085,0,Invalid email: ; Invalid region: Unknown
